unidade,data,horario,turno,titulo,descricao,tipo de conteudo,cta,enquete,link de referencia,responsavel,status inicial
Joao Pessoa,2026-06-18,09:00,Manha,Abertura da loja,Abertura da loja e equipe chegando para mais uma semana.,Bastidores,,,,,pending
Joao Pessoa,2026-06-18,09:30,Manha,Organizacao da loja,Mostrar algum setor sendo organizado para receber os clientes.,Bastidores,,,,,pending
Joao Pessoa,2026-06-18,10:00,Manha,Produto premium,Close em um produto premium ou lancamento disponivel na unidade.,Produto,,,,,pending
Joao Pessoa,2026-06-18,15:00,Tarde,Dica do Academico,Apresentar um material bastante utilizado na graduacao.,Educativo,,Voce ja usou esse material?,,,pending
Joao Pessoa,2026-06-18,15:30,Tarde,Aplicacao do material,Explicar rapidamente para que ele serve ou em qual disciplina costuma ser utilizado.,Educativo,,Voce ja usou esse material?,,,pending
Joao Pessoa,2026-06-18,16:00,Tarde,Enquete do material,Enquete: Voce ja usou esse material?,Interacao,,Voce ja usou esse material?,,,pending
Joao Pessoa,2026-06-19,09:00,Manha,Loja em clima de Sao Joao,Mostrar a loja em clima de Sao Joao.,Bastidores,,,,,pending
Joao Pessoa,2026-06-19,09:30,Manha,Decoracao junina,Registrar detalhes da decoracao junina.,Bastidores,,,,,pending
Joao Pessoa,2026-06-19,10:00,Manha,Equipe espontanea,Equipe interagindo de forma espontanea.,Bastidores,,,,,pending
Joao Pessoa,2026-06-19,15:00,Tarde,Produto destaque da semana,Produto destaque da semana.,Produto,,,,,pending
Joao Pessoa,2026-06-19,15:30,Tarde,Bastidores do atendimento,Bastidores do atendimento da tarde.,Bastidores,,,,,pending
Joao Pessoa,2026-06-19,16:00,Tarde,Final de semana,Desejar um excelente final de semana para os clientes.,Relacionamento,,,,,pending
Joao Pessoa,2026-06-20,09:00,Manha,Loja aberta,Loja aberta e pronta para receber os clientes.,Bastidores,,,,,pending
Joao Pessoa,2026-06-20,09:30,Manha,Movimento do sabado,Mostrar o movimento do sabado.,Bastidores,,,,,pending
Joao Pessoa,2026-06-20,10:00,Manha,Produto ou promocao,Destacar algum produto ou promocao disponivel na unidade.,Produto,,,,,pending
Campina Grande,2026-06-18,09:00,Manha,Abertura da loja,Abertura da loja e equipe chegando para mais uma semana.,Bastidores,,,,,pending
Campina Grande,2026-06-18,09:30,Manha,Organizacao da loja,Mostrar algum setor sendo organizado para receber os clientes.,Bastidores,,,,,pending
Campina Grande,2026-06-18,10:00,Manha,Produto premium,Close em um produto premium ou lancamento disponivel na unidade.,Produto,,,,,pending
Campina Grande,2026-06-18,15:00,Tarde,Dica do Academico,Apresentar um material bastante utilizado na graduacao.,Educativo,,Voce ja usou esse material?,,,pending
Campina Grande,2026-06-18,15:30,Tarde,Aplicacao do material,Explicar rapidamente para que ele serve ou em qual disciplina costuma ser utilizado.,Educativo,,Voce ja usou esse material?,,,pending
Campina Grande,2026-06-18,16:00,Tarde,Enquete do material,Enquete: Voce ja usou esse material?,Interacao,,Voce ja usou esse material?,,,pending
Campina Grande,2026-06-19,09:00,Manha,Loja em clima de Sao Joao,Mostrar a loja em clima de Sao Joao.,Bastidores,,,,,pending
Campina Grande,2026-06-19,09:30,Manha,Decoracao junina,Registrar detalhes da decoracao junina.,Bastidores,,,,,pending
Campina Grande,2026-06-19,10:00,Manha,Equipe espontanea,Equipe interagindo de forma espontanea.,Bastidores,,,,,pending
Campina Grande,2026-06-19,15:00,Tarde,Produto destaque da semana,Produto destaque da semana.,Produto,,,,,pending
Campina Grande,2026-06-19,15:30,Tarde,Bastidores do atendimento,Bastidores do atendimento da tarde.,Bastidores,,,,,pending
Campina Grande,2026-06-19,16:00,Tarde,Final de semana,Desejar um excelente final de semana para os clientes.,Relacionamento,,,,,pending
Campina Grande,2026-06-20,09:00,Manha,Loja aberta,Loja aberta e pronta para receber os clientes.,Bastidores,,,,,pending
Campina Grande,2026-06-20,09:30,Manha,Movimento do sabado,Mostrar o movimento do sabado.,Bastidores,,,,,pending
Campina Grande,2026-06-20,10:00,Manha,Produto ou promocao,Destacar algum produto ou promocao disponivel na unidade.,Produto,,,,,pending
Recife,2026-06-18,09:00,Manha,Abertura da loja,Abertura da loja e equipe chegando para mais uma semana.,Bastidores,,,,,pending
Recife,2026-06-18,09:30,Manha,Organizacao da loja,Mostrar algum setor sendo organizado para receber os clientes.,Bastidores,,,,,pending
Recife,2026-06-18,10:00,Manha,Produto premium,Close em um produto premium ou lancamento disponivel na unidade.,Produto,,,,,pending
Recife,2026-06-18,15:00,Tarde,Dica do Academico,Apresentar um material bastante utilizado na graduacao.,Educativo,,Voce ja usou esse material?,,,pending
Recife,2026-06-18,15:30,Tarde,Aplicacao do material,Explicar rapidamente para que ele serve ou em qual disciplina costuma ser utilizado.,Educativo,,Voce ja usou esse material?,,,pending
Recife,2026-06-18,16:00,Tarde,Enquete do material,Enquete: Voce ja usou esse material?,Interacao,,Voce ja usou esse material?,,,pending
Recife,2026-06-19,09:00,Manha,Loja em clima de Sao Joao,Mostrar a loja em clima de Sao Joao.,Bastidores,,,,,pending
Recife,2026-06-19,09:30,Manha,Decoracao junina,Registrar detalhes da decoracao junina.,Bastidores,,,,,pending
Recife,2026-06-19,10:00,Manha,Equipe espontanea,Equipe interagindo de forma espontanea.,Bastidores,,,,,pending
Recife,2026-06-19,15:00,Tarde,Produto destaque da semana,Produto destaque da semana.,Produto,,,,,pending
Recife,2026-06-19,15:30,Tarde,Bastidores do atendimento,Bastidores do atendimento da tarde.,Bastidores,,,,,pending
Recife,2026-06-19,16:00,Tarde,Final de semana,Desejar um excelente final de semana para os clientes.,Relacionamento,,,,,pending
Recife,2026-06-20,09:00,Manha,Loja aberta,Loja aberta e pronta para receber os clientes.,Bastidores,,,,,pending
Recife,2026-06-20,09:30,Manha,Movimento do sabado,Mostrar o movimento do sabado.,Bastidores,,,,,pending
Recife,2026-06-20,10:00,Manha,Produto ou promocao,Destacar algum produto ou promocao disponivel na unidade.,Produto,,,,,pending
Guarabira,2026-06-18,09:00,Manha,Abertura da loja,Abertura da loja e equipe chegando para mais uma semana.,Bastidores,,,,,pending
Guarabira,2026-06-18,09:30,Manha,Organizacao da loja,Mostrar algum setor sendo organizado para receber os clientes.,Bastidores,,,,,pending
Guarabira,2026-06-18,10:00,Manha,Produto premium,Close em um produto premium ou lancamento disponivel na unidade.,Produto,,,,,pending
Guarabira,2026-06-18,15:00,Tarde,Dica do Academico,Apresentar um material bastante utilizado na graduacao.,Educativo,,Voce ja usou esse material?,,,pending
Guarabira,2026-06-18,15:30,Tarde,Aplicacao do material,Explicar rapidamente para que ele serve ou em qual disciplina costuma ser utilizado.,Educativo,,Voce ja usou esse material?,,,pending
Guarabira,2026-06-18,16:00,Tarde,Enquete do material,Enquete: Voce ja usou esse material?,Interacao,,Voce ja usou esse material?,,,pending
Guarabira,2026-06-19,09:00,Manha,Loja em clima de Sao Joao,Mostrar a loja em clima de Sao Joao.,Bastidores,,,,,pending
Guarabira,2026-06-19,09:30,Manha,Decoracao junina,Registrar detalhes da decoracao junina.,Bastidores,,,,,pending
Guarabira,2026-06-19,10:00,Manha,Equipe espontanea,Equipe interagindo de forma espontanea.,Bastidores,,,,,pending
Guarabira,2026-06-19,15:00,Tarde,Produto destaque da semana,Produto destaque da semana.,Produto,,,,,pending
Guarabira,2026-06-19,15:30,Tarde,Bastidores do atendimento,Bastidores do atendimento da tarde.,Bastidores,,,,,pending
Guarabira,2026-06-19,16:00,Tarde,Final de semana,Desejar um excelente final de semana para os clientes.,Relacionamento,,,,,pending
Guarabira,2026-06-20,09:00,Manha,Loja aberta,Loja aberta e pronta para receber os clientes.,Bastidores,,,,,pending
Guarabira,2026-06-20,09:30,Manha,Movimento do sabado,Mostrar o movimento do sabado.,Bastidores,,,,,pending
Guarabira,2026-06-20,10:00,Manha,Produto ou promocao,Destacar algum produto ou promocao disponivel na unidade.,Produto,,,,,pending
